from_date,station_id,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O-Xylene,Temp,RH,SR,BP,PM2.5,NMHC,THC,PM10,NO,NO2,NOx,NH3,SO2,CO,month,is_festival,is_secondary_event,is_local_event,hour,day_of_week,is_weekend,is_winter,is_early_month,PM25_lag_1,PM25_lag_6,PM25_lag_24,is_peak_hour
2025-01-01 22:00:00,RVCE_Mailsandra,22.88,1.9,0.78,0.85,0.75,60.71,2.53,246.81,,,0.0,0.0,22.25,92.4,6.22,21.84,28.91,25.43,4.3,0.63,1,1,0,0,22,2,0,1,1,0.0,0.05,,0
2025-01-01 22:00:00,Silkboard,21.34,0.95,2.12,,,27.48,58.5,,718.0,,50.5,,,114.5,1.05,14.83,8.78,1.85,9.88,0.48,1,1,0,0,22,2,0,1,1,46.5,29.25,,0
2025-01-01 22:00:00,Peenya,31.92,0.65,1.91,,0.65,,,71.93,5.59,952.9,58.19,,,114.19,7.16,18.44,25.42,12.16,7.44,0.88,1,1,0,0,22,2,0,1,1,69.9,53.02,,0
2025-01-01 23:00:00,Silkboard,21.92,1.02,2.27,,,27.32,60.5,,717.75,,60.75,,,120.75,1.23,14.23,8.55,1.82,10.5,0.37,1,1,0,0,23,2,0,1,1,50.5,33.5,,0
2025-01-01 23:00:00,Peenya,32.37,0.65,1.85,,0.65,,,81.0,5.59,952.77,57.19,,,112.23,7.68,16.8,24.68,12.68,8.47,0.87,1,1,0,0,23,2,0,1,1,58.19,58.51,,0
2025-01-01 23:00:00,RVCE_Mailsandra,21.94,1.79,0.8,0.89,0.71,66.78,2.74,266.64,,,0.0,0.0,21.64,99.26,5.96,21.94,29.33,25.11,4.6,0.7,1,1,0,0,23,2,0,1,1,0.0,0.0,,0
2025-01-02 00:00:00,RVCE_Mailsandra,22.89,1.9,0.83,0.85,0.78,72.07,2.39,259.78,,,0.0,0.0,21.21,103.55,6.22,22.28,28.84,25.46,4.4,0.86,1,0,0,0,0,3,0,1,1,0.0,0.0,0.505,0
2025-01-02 00:00:00,Silkboard,21.93,0.93,2.0,,,27.12,62.5,,717.0,,71.0,,,110.5,1.27,14.1,8.55,1.75,9.33,0.36,1,0,0,0,0,3,0,1,1,60.75,37.25,59.75,0
2025-01-02 00:00:00,Peenya,32.5,0.66,1.85,,0.65,,,93.12,5.59,952.61,56.64,,,111.16,8.32,16.71,25.18,13.32,8.27,0.86,1,0,0,0,0,3,0,1,1,57.19,58.03,47.99,0
2025-01-02 01:00:00,Silkboard,19.11,0.88,1.95,,,27.5,64.0,,716.25,,76.5,,,116.75,1.58,13.98,8.72,1.75,8.9,0.64,1,0,0,0,1,3,0,1,1,71.0,44.0,68.5,0
